| 2023-05-04 16:22:27: RuntimeError | AreaType: nation | metricCode: newFirstEpisodesBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:02: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRollingRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:23:02: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRollingSum | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:23:02: ValueError | AreaType: nation | metricCode: newDeathsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:23:08: ValueError | AreaType: nation | metricCode: newPeopleReceivingFirstDose | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:23:08: ValueError | AreaType: nation | metricCode: newPeopleReceivingSecondDose | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 16:23:09: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:09: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:10: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:10: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:10: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:11: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:11: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:11: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:12: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:12: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:12: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 16:23:12: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:39:48: RuntimeError | AreaType: nation | metricCode: newFirstEpisodesBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:39:52: RuntimeError | AreaType: nation | metricCode: newReinfectionsBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:39:54: ValueError | AreaType: nation | metricCode: capacityPillarFour | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:39:55: ValueError | AreaType: nation | metricCode: capacityPillarOne | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:39:55: ValueError | AreaType: nation | metricCode: capacityPillarOneTwo | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:39:55: ValueError | AreaType: nation | metricCode: capacityPillarThree | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:39:56: ValueError | AreaType: nation | metricCode: capacityPillarTwo | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:39:58: ValueError | AreaType: nation | metricCode: cumPillarFourTestsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:05: ValueError | AreaType: nation | metricCode: newPillarFourTestsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:08: RuntimeError | AreaType: nation | metricCode: newVirusTestsByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:09: ValueError | AreaType: nation | metricCode: newVirusTestsChange | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:10: ValueError | AreaType: nation | metricCode: newVirusTestsChangePercentage | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:10: ValueError | AreaType: nation | metricCode: newVirusTestsDirection | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:10: ValueError | AreaType: nation | metricCode: newVirusTestsRollingSum | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:10: ValueError | AreaType: nation | metricCode: plannedAntibodyCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:11: ValueError | AreaType: nation | metricCode: plannedCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:11: ValueError | AreaType: nation | metricCode: plannedPCRCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:12: ValueError | AreaType: nation | metricCode: alertLevel | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:20: ValueError | AreaType: nation | metricCode: cumDeathsByDeathDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:21: ValueError | AreaType: nation | metricCode: cumDeathsByDeathDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:21: ValueError | AreaType: nation | metricCode: cumDeathsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:21: ValueError | AreaType: nation | metricCode: cumDeathsByPublishDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:29: RuntimeError | AreaType: nation | metricCode: newDeaths28DaysByDeathDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:34: ValueError | AreaType: nation | metricCode: newDeathsByDeathDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:34: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:34: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRollingRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:35: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRollingSum | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:35: ValueError | AreaType: nation | metricCode: newDeathsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:42: ValueError | AreaType: nation | metricCode: newPeopleReceivingFirstDose | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:42: ValueError | AreaType: nation | metricCode: newPeopleReceivingSecondDose | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-04 17:40:43: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:43: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:44: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:44: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:45: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:45: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:45: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:45: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:46: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:47: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:47: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-04 17:40:47: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:04:38: RuntimeError | AreaType: nation | metricCode: newFirstEpisodesBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:04:44: RuntimeError | AreaType: nation | metricCode: newReinfectionsBySpecimenDateDemographics | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:04:47: ValueError | AreaType: nation | metricCode: capacityPillarFour | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:04:48: ValueError | AreaType: nation | metricCode: capacityPillarOne | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:04:49: ValueError | AreaType: nation | metricCode: capacityPillarOneTwo | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:04:50: ValueError | AreaType: nation | metricCode: capacityPillarThree | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:04:50: ValueError | AreaType: nation | metricCode: capacityPillarTwo | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:04:52: ValueError | AreaType: nation | metricCode: cumPillarFourTestsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:05: ValueError | AreaType: nation | metricCode: newPillarFourTestsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:11: RuntimeError | AreaType: nation | metricCode: newVirusTestsByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:05:13: ValueError | AreaType: nation | metricCode: newVirusTestsChange | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:13: ValueError | AreaType: nation | metricCode: newVirusTestsChangePercentage | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:14: ValueError | AreaType: nation | metricCode: newVirusTestsDirection | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:14: ValueError | AreaType: nation | metricCode: newVirusTestsRollingSum | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:14: ValueError | AreaType: nation | metricCode: plannedAntibodyCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:16: ValueError | AreaType: nation | metricCode: plannedCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:16: ValueError | AreaType: nation | metricCode: plannedPCRCapacityByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:17: ValueError | AreaType: nation | metricCode: alertLevel | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:32: ValueError | AreaType: nation | metricCode: cumDeathsByDeathDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:32: ValueError | AreaType: nation | metricCode: cumDeathsByDeathDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:33: ValueError | AreaType: nation | metricCode: cumDeathsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:33: ValueError | AreaType: nation | metricCode: cumDeathsByPublishDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:44: RuntimeError | AreaType: nation | metricCode: newDeaths28DaysByDeathDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:05:52: ValueError | AreaType: nation | metricCode: newDeathsByDeathDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:52: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:52: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRollingRate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:53: ValueError | AreaType: nation | metricCode: newDeathsByDeathDateRollingSum | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:05:53: ValueError | AreaType: nation | metricCode: newDeathsByPublishDate | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:06:06: ValueError | AreaType: nation | metricCode: newPeopleReceivingFirstDose | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:06:06: ValueError | AreaType: nation | metricCode: newPeopleReceivingSecondDose | Repsonse: Expecting value: line 1 column 1 (char 0) | 
| 2023-05-11 13:06:08: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:09: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:09: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:09: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedFirstDoseByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:10: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:11: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:11: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:11: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedSecondDoseByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:14: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateChange | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:14: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateChangePercentage | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:14: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateDirection | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
| 2023-05-11 13:06:15: RuntimeError | AreaType: nation | metricCode: newPeopleVaccinatedThirdInjectionByPublishDateRollingSum | Repsonse: {"response":"Invalid structure. The structure must be a flat (non-nested) JSON object. Make sure you use double quotation marks in the structure.","status_code":400,"status":"Bad request"} | 
